pair_id,repeat,sample_id,reference_transcript,baseline_first_audio_ms,streaming_first_audio_ms,saved_ms,saved_percent,baseline_wait_score_1_5,baseline_wait_label,streaming_wait_score_1_5,streaming_wait_label,streamed_audio_segments,streaming_response_mode
r1:A001,1,A001,密闭舱室动火作业前要检查什么？,10835,4453,6382,58.9,1,等待过长,3,有等待感但可接受,2,llm_token_stream_sentence_tts
r1:A002,1,A002,舾装阶段管路试压有哪些安全风险？,13342,4962,8380,62.81,1,等待过长,3,有等待感但可接受,6,llm_token_stream_sentence_tts
r1:A003,1,A003,船体分段吊装前需要确认哪些事项？,7940,5185,2755,34.7,2,等待明显,3,有等待感但可接受,6,llm_token_stream_sentence_tts
r1:A004,1,A004,高处焊接作业为什么要安排下方监护？,4543,2510,2033,44.75,3,有等待感但可接受,4,等待可接受,6,llm_token_stream_sentence_tts
r1:A005,1,A005,压载水舱检修前需要注意哪些有限空间风险？,9057,3079,5978,66.0,1,等待过长,4,等待可接受,4,llm_token_stream_sentence_tts
r1:A006,1,A006,喷涂作业需要哪些个人防护？,6256,3861,2395,38.28,2,等待明显,4,等待可接受,5,llm_token_stream_sentence_tts
r1:A007,1,A007,脚手架高处作业前要检查哪些安全点？,8291,3990,4301,51.88,2,等待明显,4,等待可接受,7,llm_token_stream_sentence_tts
r1:A008,1,A008,起重指挥和吊装信号交接要注意什么？,10686,4234,6452,60.38,1,等待过长,3,有等待感但可接受,6,llm_token_stream_sentence_tts
r1:A009,1,A009,焊接作业旁边有易燃物应该怎么处理？,6426,4629,1797,27.96,2,等待明显,3,有等待感但可接受,2,llm_token_stream_sentence_tts
r1:A010,1,A010,临时用电作业前需要做哪些安全确认？,8181,4331,3850,47.06,2,等待明显,3,有等待感但可接受,3,llm_token_stream_sentence_tts
r1:A011,1,A011,车间叉车通行时人员避让和警戒怎么做？,5136,3979,1157,22.53,3,有等待感但可接受,4,等待可接受,2,llm_token_stream_sentence_tts
r1:A012,1,A012,动火现场消防器材需要怎样准备？,8966,3777,5189,57.87,2,等待明显,4,等待可接受,3,llm_token_stream_sentence_tts
r1:A013,1,A013,气体检测记录应该包含哪些关键项目？,7063,3620,3443,48.75,2,等待明显,4,等待可接受,3,llm_token_stream_sentence_tts
r1:A014,1,A014,密闭舱室作业监护人需要承担哪些职责？,10722,5450,5272,49.17,1,等待过长,3,有等待感但可接受,4,llm_token_stream_sentence_tts
